number,target0,threshold0,clip0,target1,clip1,prob0,mean0,stddev0,prob1,mean1,stddev1,prob_joined
1170,er,158,2.0,em,3.0000000000000013,0.466,78.91408799999991,10.622240832906675,0.282,149.88330000000005,20.24832780295496,0.12
1180,er,158,2.0,em,3.0000000000000013,0.449,78.36134400000005,9.98102635131558,0.262,150.09775199999987,19.58682806486227,0.094
1190,er,158,2.0,em,3.0000000000000013,0.453,78.46761599999998,10.453257065458008,0.299,150.19332299999994,19.669760739638846,0.127
1200,er,158,2.0,em,3.0000000000000013,0.455,78.89464800000012,10.079868578313446,0.28,149.86931399999983,19.13005048188327,0.116
1210,er,158,2.0,em,3.0000000000000013,0.494,79.52320799999991,10.28184601697352,0.249,148.54064400000004,19.71367699484839,0.098
1220,er,158,2.0,em,3.0000000000000013,0.483,79.35083999999993,10.522250557671281,0.264,149.12106300000005,19.789664351144246,0.104
1230,er,158,2.0,em,3.0000000000000013,0.494,79.82971200000004,10.16150707626783,0.267,149.41943099999983,19.65722763690921,0.117
1240,er,158,2.0,em,3.0000000000000013,0.475,79.38194400000002,9.791106119170383,0.274,150.04647000000003,19.43264262253133,0.115
1250,er,158,2.0,em,3.0000000000000013,0.481,79.22966400000003,10.445594702413677,0.291,150.27490800000015,20.209242493458504,0.115
1260,er,158,2.0,em,3.0000000000000013,0.502,79.93015199999995,9.88205734252211,0.279,149.74577100000008,19.899549040128473,0.12
1270,er,158,2.0,em,3.0000000000000013,0.485,79.29640799999997,9.704162051075667,0.292,150.594255,19.91920653700658,0.129
1280,er,158,2.0,em,3.0000000000000013,0.49,79.72797599999996,9.97569915501792,0.273,150.07910399999975,19.424734202022353,0.111
1290,er,158,2.0,em,3.0000000000000013,0.511,80.04614400000015,10.02624197809131,0.288,150.49169099999992,18.770308423824375,0.125
1300,er,158,2.0,em,3.0000000000000013,0.547,80.81661600000005,9.751590741439598,0.278,150.54996599999998,19.040232976274122,0.127
1310,er,158,1.9,em,3.1000000000000014,0.46,78.71579999999997,9.467574389673334,0.393,155.92292099999997,19.129419208660618,0.158
1320,er,158,1.9,em,3.1000000000000014,0.453,78.57518400000009,10.011242146613078,0.398,155.26791000000028,18.458208623474963,0.158
1330,er,158,1.9,em,3.1000000000000014,0.455,79.10071199999987,9.298703792952251,0.4,155.31219900000022,19.584195693344892,0.166
1340,er,158,1.9,em,3.1000000000000014,0.439,78.46955999999997,9.961468916500182,0.4,156.23760600000014,18.89682396151793,0.156
1350,er,158,1.9,em,3.1000000000000014,0.468,78.85900800000006,9.923577531108753,0.382,154.94157000000035,18.243720081466616,0.168
1360,er,158,1.9,em,3.1000000000000014,0.497,79.78305599999999,9.7875271420753,0.409,156.58259400000026,19.032400740919616,0.181
1370,er,158,1.9,em,3.1000000000000014,0.475,79.36768800000011,9.593850395260306,0.411,156.18399300000019,19.765861673116504,0.187
1380,er,158,1.9,em,3.1000000000000014,0.496,79.24262400000003,10.074036002050459,0.397,155.9229210000003,18.40532551025865,0.17
1390,er,158,1.9,em,3.1000000000000014,0.475,79.1182079999999,9.754773931401644,0.383,155.72245500000014,19.156363783815028,0.173
1400,er,158,1.9,em,3.1000000000000014,0.496,79.63142400000004,9.558328519370743,0.387,155.50800299999992,19.187490395904472,0.18
1410,er,158,1.9,em,3.1000000000000014,0.503,80.01439199999994,9.267839966159201,0.417,156.97187100000022,19.02483303638291,0.196
1420,er,158,1.9,em,3.1000000000000014,0.499,80.27747999999995,9.929968893486317,0.426,156.74809499999998,19.142744096964503,0.204
1430,er,158,1.9,em,3.1000000000000014,0.521,80.10122400000007,9.484542731297603,0.427,157.06277999999995,19.127215056758136,0.203
1440,er,158,1.7999999999999998,em,3.2000000000000015,0.438,78.46632000000001,9.396623400008789,0.494,159.4170900000003,18.890292262368842,0.203
1450,er,158,1.7999999999999998,em,3.2000000000000015,0.481,79.68455999999986,9.307840511226143,0.53,160.4986740000002,18.371575643683467,0.239
